"region_country","year","total_ev_stock"
"Switzerland",2015,"23613.77"
"Switzerland",2016,"29880.831"
"Switzerland",2017,"41081.673"
"Switzerland",2018,"55564.01"
"Switzerland",2019,"82224.73"
"Switzerland",2020,"136390.79"
"Switzerland",2021,"219345.01"
"Switzerland",2022,"298865.81"
"Switzerland",2023,"405242.8"
"Switzerland",2024,"467912.7"
"Thailand",2010,"8295.073171"
"Thailand",2011,"6582.04712"
"Thailand",2012,"4695.02681"
"Thailand",2013,"3269.01744"
"Thailand",2014,"2698.02655"
"Thailand",2015,"2118.0158"
"Thailand",2016,"1847.0154"
"Thailand",2017,"1873.0266"
"Thailand",2018,"18766.9409"
"Thailand",2019,"32650.172"
"Thailand",2020,"42311.373"
"Thailand",2021,"57372.671"
"Thailand",2022,"106303.155"
"Thailand",2023,"307513.09"
"Thailand",2024,"404815.68"
"Turkiye",2012,"238.0591"
"Turkiye",2013,"581.08325"
"Turkiye",2014,"2728.6757"
"Turkiye",2015,"4700.9538"
"Turkiye",2016,"10670.4532"
"Turkiye",2017,"18923.9419"
"Turkiye",2018,"24638.0436"
"Turkiye",2019,"32338.811"
"Turkiye",2020,"43155.375"
"Turkiye",2021,"64195.804"
"Turkiye",2022,"96017.6416"
"Turkiye",2023,"367220.9699"
"Turkiye",2024,"680813.4318"
"United Kingdom",2010,"9000.2463"
"United Kingdom",2011,"12235.082"
"United Kingdom",2012,"17045.071"
"United Kingdom",2013,"23175.043"
"United Kingdom",2014,"50566.087"
"United Kingdom",2015,"93587.394"
"United Kingdom",2016,"144993.125"
"United Kingdom",2017,"202276.1317"
"United Kingdom",2018,"277061.068"
"United Kingdom",2019,"361361.051"
"United Kingdom",2020,"642773.977"
"United Kingdom",2021,"1115363.001"
"United Kingdom",2022,"1454533.71"
"United Kingdom",2023,"2231136.9"
"United Kingdom",2024,"2968846.15"
"USA",2010,"5509.469015"
"USA",2011,"44298.549954"
"USA",2012,"144033.2112753"
"USA",2013,"289510.8863531"
"USA",2014,"436783.3949703"
"USA",2015,"558958.9336083"
"USA",2016,"785366.310559"
"USA",2017,"1022792.811247"
"USA",2018,"1572135.570903"
"USA",2019,"1895539.613558"
"USA",2020,"4370570.77516"
"USA",2021,"6064550.549916"
"USA",2022,"8465817.16094"
"USA",2023,"12993886.83244"
"USA",2024,"16433312.59946"
"USA",2030,"27159801.81035"
"Uzbekistan",2023,"20226.04"
"Uzbekistan",2024,"55207.97"
"Viet Nam",2014,"2800.0488"
"Viet Nam",2015,"9800.144"
"Viet Nam",2016,"75001.196"
"Viet Nam",2017,"124001.48"
"Viet Nam",2018,"276009.0718"
"Viet Nam",2019,"550009.01018"
"Viet Nam",2020,"780011.20017"
"Viet Nam",2021,"1070185.58758"
"Viet Nam",2022,"1374751.65099"
"Viet Nam",2023,"1626069.7"
"Viet Nam",2024,"2035387.6"
"World",2010,"142161.152971"
"World",2011,"281295.829966"
"World",2012,"4388077.050866"
"World",2013,"7101382.729692"
"World",2014,"10740158.630378"
"World",2015,"14451615.0705"
"World",2016,"19713018.9339"
"World",2017,"26152560.6288"
"World",2018,"36021731.6984"
"World",2019,"48137703.027"
"World",2020,"125366304.718"
"World",2021,"170900365.972"
"World",2022,"208161506.944"
"World",2023,"279531119.230"
"World",2024,"348214273.038"
"World",2030,"512931466.14"
